dataset,classifier,metric,experimento,experimento_num,valor,author
Car Evaluation,perceptron,f1_score,v10,10,0.1791044776119403,vitor-oliveira
Car Evaluation,perceptron,f1_score,v11,11,0.782608695652174,vitor-oliveira
Car Evaluation,perceptron,f1_score,v12,12,0.782608695652174,vitor-oliveira
Car Evaluation,perceptron,f1_score,v13,13,0.782608695652174,vitor-oliveira
Car Evaluation,perceptron,f1_score,v14,14,0.782608695652174,vitor-oliveira
Car Evaluation,perceptron,f1_score,v15,15,0.782608695652174,vitor-oliveira
Car Evaluation,perceptron,f1_score,v16,16,0.375,vitor-oliveira
Car Evaluation,perceptron,f1_score,v17,17,0.375,vitor-oliveira
Car Evaluation,perceptron,f1_score,v18,18,0.375,vitor-oliveira
Car Evaluation,perceptron,f1_score,v19,19,0.375,vitor-oliveira
Car Evaluation,perceptron,f1_score,v20,20,0.375,vitor-oliveira
Car Evaluation,svm,accuracy,v1,1,0.8815028901734104,vitor-oliveira
Car Evaluation,svm,accuracy,v2,2,0.8815028901734104,vitor-oliveira
Car Evaluation,svm,accuracy,v3,3,0.8815028901734104,vitor-oliveira
Car Evaluation,svm,accuracy,v4,4,0.8815028901734104,vitor-oliveira
Car Evaluation,svm,accuracy,v5,5,0.8815028901734104,vitor-oliveira
Car Evaluation,svm,accuracy,v6,6,0.861271676300578,vitor-oliveira
Car Evaluation,svm,accuracy,v7,7,0.861271676300578,vitor-oliveira
Car Evaluation,svm,accuracy,v8,8,0.861271676300578,vitor-oliveira
Car Evaluation,svm,accuracy,v9,9,0.861271676300578,vitor-oliveira
Car Evaluation,svm,accuracy,v10,10,0.861271676300578,vitor-oliveira
Car Evaluation,svm,accuracy,v11,11,0.8815028901734104,vitor-oliveira
Car Evaluation,svm,accuracy,v12,12,0.8815028901734104,vitor-oliveira
Car Evaluation,svm,accuracy,v13,13,0.8815028901734104,vitor-oliveira
Car Evaluation,svm,accuracy,v14,14,0.8815028901734104,vitor-oliveira
Car Evaluation,svm,accuracy,v15,15,0.8815028901734104,vitor-oliveira
Car Evaluation,svm,accuracy,v16,16,0.8728323699421965,vitor-oliveira
Car Evaluation,svm,accuracy,v17,17,0.8728323699421965,vitor-oliveira
Car Evaluation,svm,accuracy,v18,18,0.8728323699421965,vitor-oliveira
Car Evaluation,svm,accuracy,v19,19,0.8728323699421965,vitor-oliveira
Car Evaluation,svm,accuracy,v20,20,0.8728323699421965,vitor-oliveira
Car Evaluation,svm,f1_score,v1,1,0.7600000000000001,vitor-oliveira
Car Evaluation,svm,f1_score,v2,2,0.7600000000000001,vitor-oliveira
Car Evaluation,svm,f1_score,v3,3,0.7600000000000001,vitor-oliveira
Car Evaluation,svm,f1_score,v4,4,0.7600000000000001,vitor-oliveira
Car Evaluation,svm,f1_score,v5,5,0.7600000000000001,vitor-oliveira
Car Evaluation,svm,f1_score,v6,6,0.7014925373134329,vitor-oliveira
Car Evaluation,svm,f1_score,v7,7,0.7014925373134329,vitor-oliveira
